Time (MDT),Air Temp,RH,T_target,R_red,R_nir,ETc,NDVI,NDVI_scaled,Fr,target_emissivity,T_target_corr,VPD,VPG,dTmin,dTmax,CWSI,ETa
8/18/2010 14:00,34.3,14.5,29.0,0.037,0.38,6.35,0.8225419664268586,0.8967226219024781,0.8041114606316547,0.9702055730315827,29.204533002910175,4.624487892815696,-1.0075472124308762,-6.000241148846921,5.094868008488826,0.08154711584418167,5.832175814389446
8/20/2010 13:00,28.6,31.8,27.7,0.036,0.39,5.59,0.8309859154929579,0.9079812206572772,0.824429897066279,0.9712214948533139,27.885676363962236,2.6693543416996532,-0.7633990873599839,-2.148628053148317,4.613896202099168,0.21209601074592543,4.404383299930276
8/21/2010 13:00,29.9,34.9,28.8,0.035,0.4,6.6,0.8390804597701148,0.9187739463601531,0.8441455645102095,0.9722072782255105,28.988817058191803,2.746431246141254,-0.8141815774909338,-2.3004695548982705,4.71393770765714,0.19806186910566484,5.292791663902612
8/22/2010 14:00,32.4,26.0,29.1,0.034,0.4,6.1,0.8433179723502303,0.9244239631336404,0.8545596636157061,0.9727279831807853,29.287742161687607,3.5988502865591254,-0.9198126164093381,-3.9797350645214773,4.922030854326396,0.09745001543708987,5.505554905833751
8/24/2010 14:00,24.2,36.7,24.6,0.033,0.402,5.84,0.8482758620689654,0.9310344827586206,0.8668252080856121,0.9733412604042806,24.743889421906132,1.9116130429560438,-0.6107725293065145,-0.6558776946234066,4.313221882733833,0.2414455773831811,4.429957828082222
8/25/2010 14:00,28.4,27.9,27.2,0.032,0.405,6.1,0.8535469107551487,0.9380625476735315,0.8799613433477566,0.9739980671673878,27.363267639030575,2.7894507396172417,-0.7558274417960744,-2.3852179570459664,4.598980060338267,0.19307665571910373,4.922232400113467
8/26/2010 14:00,32.4,16.5,29.3,0.032,0.408,6.1,0.8545454545454546,0.9393939393939394,0.8824609733700643,0.9741230486685032,29.479560538583197,4.0608648503741485,-0.9198126164093381,-4.889903755237073,4.922030854326396,0.20072130239236202,4.875600055406592
8/27/2010 13:00,32.9,25.4,30.7,0.035,0.408,6.1,0.8419864559819414,0.9226486079759219,0.8512804537999064,0.9725640226899953,30.902166234454537,3.7314931049091413,-0.9422566397721646,-4.241041416671008,4.966245580351164,0.243633944706084,4.613832937292887
8/28/2010 14:00,31.7,22.1,30.4,0.038,0.408,5.08,0.8295964125560539,0.9061285500747385,0.8210689492605479,0.9710534474630274,30.610917648879052,3.6416381806076656,-0.8891430253136869,-4.0640272157971005,4.861611759867963,0.33330329321935026,3.3868192704457005
8/29/2010 14:00,30.3,16.0,29.8,0.04,0.408,5.59,0.8214285714285715,0.8952380952380953,0.801451247165533,0.9700725623582767,30.01279335328645,3.625965321611313,-0.830364732128432,-4.033151683574287,4.7458185222930105,0.4266952671005979,3.204773456907658
8/30/2010 13:00,28.0,30.3,29.1,0.042,0.408,6.1,0.8133333333333334,0.8844444444444445,0.782241975308642,0.969112098765432,29.313148488768682,2.6346114637046982,-0.7408730128536418,-2.0801845834982555,4.569519835321675,0.5102983318571513,2.9871801756713765
8/31/2010 14:00,25.5,28.2,29.1,0.044,0.408,5.08,0.8053097345132744,0.8737463126843658,0.7634326189295254,0.9681716309464763,29.319776731165987,2.34309005267498,-0.6529219421284882,-1.505887403769711,4.396256225993122,0.9023270982562822,0.4961783408580864
9/1/2010 13:00,25.9,31.4,29.9,0.045,0.408,5.33,0.8013245033112584,0.8684326710816778,0.7541753042020575,0.9677087652101029,30.130942906994136,2.2923514675914713,-0.6663728216553331,-1.4059323911551984,4.4227544586610055,0.9670918070211789,0.17540066857711636
